"","Type","Year","Race Category","Total Percentage"
"1","Undergraduate","2011","White",62.4
"2","Undergraduate","2011","International",5.4
"3","Undergraduate","2011","Nonwhite",27.1
"4","Undergraduate","2011","Unknown",5.1
"5","Graduate","2011","White",57.6
"6","Graduate","2011","International",22.7
"7","Graduate","2011","Nonwhite",16.4
"8","Graduate","2011","Unknown",3.2
"9","Professional","2011","White",69.1
"10","Professional","2011","International",7.4
"11","Professional","2011","Nonwhite",17
"12","Professional","2011","Unknown",6.5
"13","Undergraduate","2012","White",62.2
"14","Undergraduate","2012","International",5.8
"15","Undergraduate","2012","Nonwhite",28.5
"16","Undergraduate","2012","Unknown",3.5
"17","Graduate","2012","White",56.7
"18","Graduate","2012","International",23.5
"19","Graduate","2012","Nonwhite",16
"20","Graduate","2012","Unknown",3.6
"21","Professional","2012","White",66.5
"22","Professional","2012","International",7.5
"23","Professional","2012","Nonwhite",19.3
"24","Professional","2012","Unknown",6.8
"25","Undergraduate","2013","White",60.3
"26","Undergraduate","2013","International",5.9
"27","Undergraduate","2013","Nonwhite",29.7
"28","Undergraduate","2013","Unknown",4.2
"29","Graduate","2013","White",56
"30","Graduate","2013","International",23.3
"31","Graduate","2013","Nonwhite",16.2
"32","Graduate","2013","Unknown",4.6
"33","Professional","2013","White",66.5
"34","Professional","2013","International",7.6
"35","Professional","2013","Nonwhite",18.6
"36","Professional","2013","Unknown",7.3
"37","Undergraduate","2014","White",58.1
"38","Undergraduate","2014","International",6.2
"39","Undergraduate","2014","Nonwhite",31.2
"40","Undergraduate","2014","Unknown",4.4
"41","Graduate","2014","White",55.6
"42","Graduate","2014","International",23.3
"43","Graduate","2014","Nonwhite",17
"44","Graduate","2014","Unknown",4.1
"45","Professional","2014","White",67.4
"46","Professional","2014","International",7.1
"47","Professional","2014","Nonwhite",19
"48","Professional","2014","Unknown",6.4
"49","Undergraduate","2015","White",54.8
"50","Undergraduate","2015","International",6.8
"51","Undergraduate","2015","Nonwhite",33.5
"52","Undergraduate","2015","Unknown",4.9
"53","Graduate","2015","White",56.1
"54","Graduate","2015","International",23.1
"55","Graduate","2015","Nonwhite",17.1
"56","Graduate","2015","Unknown",3.6
"57","Professional","2015","White",67.7
"58","Professional","2015","International",8.4
"59","Professional","2015","Nonwhite",18.9
"60","Professional","2015","Unknown",5
"61","Undergraduate","2016","White",51.4
"62","Undergraduate","2016","International",7.1
"63","Undergraduate","2016","Nonwhite",36.4
"64","Undergraduate","2016","Unknown",5.1
"65","Graduate","2016","White",54.9
"66","Graduate","2016","International",23.3
"67","Graduate","2016","Nonwhite",18.7
"68","Graduate","2016","Unknown",3.1
"69","Professional","2016","White",68.4
"70","Professional","2016","International",9.4
"71","Professional","2016","Nonwhite",19.2
"72","Professional","2016","Unknown",2.9
"73","Undergraduate","2017","White",48.4
"74","Undergraduate","2017","International",7.7
"75","Undergraduate","2017","Nonwhite",39.2
"76","Undergraduate","2017","Unknown",4.7
"77","Graduate","2017","White",54.5
"78","Graduate","2017","International",23.4
"79","Graduate","2017","Nonwhite",19.2
"80","Graduate","2017","Unknown",2.8
"81","Professional","2017","White",67.7
"82","Professional","2017","International",9.2
"83","Professional","2017","Nonwhite",21.3
"84","Professional","2017","Unknown",1.7
"85","Undergraduate","2018","White",45.3
"86","Undergraduate","2018","International",8.8
"87","Undergraduate","2018","Nonwhite",41
"88","Undergraduate","2018","Unknown",4.9
"89","Graduate","2018","White",53.9
"90","Graduate","2018","International",23.4
"91","Graduate","2018","Nonwhite",20.7
"92","Graduate","2018","Unknown",2
"93","Professional","2018","White",67.7
"94","Professional","2018","International",7.8
"95","Professional","2018","Nonwhite",22.7
"96","Professional","2018","Unknown",1.9
"97","Undergraduate","2019","White",44
"98","Undergraduate","2019","International",9.7
"99","Undergraduate","2019","Nonwhite",41.6
"100","Undergraduate","2019","Unknown",4.7
"101","Graduate","2019","White",51.8
"102","Graduate","2019","International",25.6
"103","Graduate","2019","Nonwhite",20.8
"104","Graduate","2019","Unknown",1.8
"105","Professional","2019","White",66
"106","Professional","2019","International",8
"107","Professional","2019","Nonwhite",23.9
"108","Professional","2019","Unknown",2
"109","Undergraduate","2020","White",42.4
"110","Undergraduate","2020","International",9.4
"111","Undergraduate","2020","Nonwhite",43.5
"112","Undergraduate","2020","Unknown",4.7
"113","Graduate","2020","White",53.9
"114","Graduate","2020","International",23.4
"115","Graduate","2020","Nonwhite",21.5
"116","Graduate","2020","Unknown",1.2
"117","Professional","2020","White",67.5
"118","Professional","2020","International",4.9
"119","Professional","2020","Nonwhite",25.4
"120","Professional","2020","Unknown",2.2
"121","Undergraduate","2021","White",41.4
"122","Undergraduate","2021","International",10.1
"123","Undergraduate","2021","Nonwhite",44.4
"124","Undergraduate","2021","Unknown",4.1
"125","Graduate","2021","White",51.5
"126","Graduate","2021","International",24.9
"127","Graduate","2021","Nonwhite",22.2
"128","Graduate","2021","Unknown",1.4
"129","Professional","2021","White",64.6
"130","Professional","2021","International",7.4
"131","Professional","2021","Nonwhite",26.4
"132","Professional","2021","Unknown",1.7
"133","Undergraduate","2022","White",40.6
"134","Undergraduate","2022","International",10.2
"135","Undergraduate","2022","Nonwhite",45.4
"136","Undergraduate","2022","Unknown",3.9
"137","Graduate","2022","White",49.6
"138","Graduate","2022","International",26.2
"139","Graduate","2022","Nonwhite",23
"140","Graduate","2022","Unknown",1.2
"141","Professional","2022","White",61.5
"142","Professional","2022","International",8.7
"143","Professional","2022","Nonwhite",28.1
"144","Professional","2022","Unknown",1.7
